Engineering,Fall,2018
Dept,Number,Section,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
CHE,210,1,Material & Energy Balances,11,7,5,3,2,0,0,0,0,0,Wedgewood
CS,487,1,Secure Computer Systems,9,14,5,1,0,1,0,0,0,5,Gjomemo
BIOE,101,1,Intro to Bioengineering,48,22,4,2,2,0,0,0,0,0,Felder
CS,594,3,Visual Data Science,21,10,0,0,0,0,0,0,0,0,Marai
CS,251,1,Data Structures,30,22,41,19,58,0,0,0,0,22,Lillis
BIOE,396,1,Senior Design I,34,24,2,0,0,0,0,0,0,0,Kotche
IE,467,1,Discrete Event Simulation,24,12,3,1,0,0,0,0,0,1,Pan
BIOE,576,1,Sensory Prostheses,9,0,0,0,0,0,0,0,0,1,Esmailbeigi
CME,508,1,Urban Travel Forecasting,21,2,0,0,0,0,0,0,0,0,Mohammadian
CS,582,1,Information Retrieval,34,9,1,0,0,0,0,0,0,1,Caragea
ECE,432,1,Digital Communications,20,8,4,3,0,0,0,0,0,0,Smida
BIOE,430,1,Bioinstrumentation I,9,17,10,5,0,1,0,0,0,2,Papautsky
BIOE,240,1,Modeling Data and Systems,14,16,5,2,2,0,0,0,0,0,Esmailbeigi
CME,311,1,Water Resources Engineering,19,13,0,0,0,0,0,0,0,0,Schulenberg
ECE,496,1,Undergrad Sen Design Thesis I,28,0,0,0,0,0,0,0,0,0,Goncharoff
CS,111,1,Program Design I,18,21,13,3,5,0,0,0,0,21,Berger-Wolf
BIOE,421,1,Biomedical Imaging,17,17,0,0,0,0,0,0,0,1,Magin
IT,202,1,Web & Multimedia Technology,8,5,4,3,4,0,0,0,0,7,Hayes
ECE,440,1,Nanoelectronics,27,5,2,0,0,0,0,0,0,0,Yang
CS,440,1,Software Engr I,55,39,12,6,1,0,1,0,0,0,Bell
BIOE,205,1,Biothermodynamics,5,16,11,0,0,0,0,0,0,1,Wang
CME,594,2,Environmental Nanotechnology,9,1,0,0,0,0,0,0,0,0,Khodadoust
ME,325,1,Intermediate Thermodynamics,66,32,14,6,2,0,0,0,0,2,Siow
ECE,341,1,Probabil &Rand Proc for Engr,25,36,25,7,3,0,0,0,0,8,Kosmach
ECE,397,2,Senior Design II,9,0,1,0,0,0,0,0,0,0,Revelo Alonso
ECE,452,1,Robotics: Algorithm/Control,13,13,1,0,0,0,0,0,0,0,Zefran
ME,347,1,Computer-Aided Design,21,27,10,2,1,0,0,0,0,5,Szwalek
ME,341,1,Exp Methods in Mech Engr,30,23,4,0,0,0,0,0,0,0,Xu
CME,405,1,Foundation Dsgn& Analysis,24,25,0,0,0,0,0,0,0,1,Schulenberg
ECE,347,1,Integrated Circuit Engr,34,5,0,0,0,0,0,0,0,0,Yang
CS,341,2,Programming Language Concepts,44,53,22,10,3,2,0,0,0,2,Hummel
CME,301,1,Behav & Dsgn Metal Struct,15,12,7,0,1,0,0,0,0,1,Ozevin
IE,471,1,Operations Research I,37,20,5,0,0,0,0,0,0,1,Williams
ENGR,111,1,Pract Additive Manufacturing,0,0,0,0,0,0,0,76,9,0,Grad Asst
CME,594,1,Construction Estimating & Sche,21,6,1,0,0,0,0,0,0,1,Ataei
CHE,499,1,Professional Develpmnt Seminar,0,0,0,0,0,0,0,60,0,0,Zdunek
CME,440,1,Cities and Sustainability,21,15,2,0,0,0,0,0,0,0,Derrible
ECE,540,1,Physics Semicond Devices,6,6,1,0,0,0,0,0,0,0,Shi
CHE,311,1,Transport Phenomena I,17,24,23,2,1,0,1,0,0,2,Cheng
CME,211,1,Fluid Mechanics and Hydraulics,20,21,4,3,0,0,0,0,0,1,Vitousek
